dataset,entity-minimum,entity-maximum,organisation
conservation-area-document-type,4210000,4210003,government-organisation:D1342
conservation-area-document,6300000,6300044,local-authority:SAL
conservation-area-document,6300045,6300061,local-authority:NLN
conservation-area-document,6300062,6300095,local-authority:ROS
conservation-area-document,6300096,6300157,local-authority:CMD
conservation-area-document,6300158,6300213,local-authority:PTE
conservation-area-document,6300214,6300229,local-authority:ROH
conservation-area-document,6300230,6300231,local-authority:CAS
conservation-area-document,6300232,6303117,government-organisation:D1342
conservation-area-document,6300438,6300479,local-authority:BIR
conservation-area-document,6300480,6300513,local-authority:BST
conservation-area-document,6303118,6303261,local-authority:WRL
conservation-area-document,6303262,6303301,local-authority:BNE
conservation-area-document,6303302,6303316,local-authority:PLY
conservation-area,44000001,44010124,local-authority:SAL
conservation-area,44000001,44009885,government-organisation:PB1164
conservation-area,44000071,44007977,local-authority:BRT
conservation-area,44000191,44007439,national-park-authority:Q72617988
conservation-area,44000193,44009597,local-authority:CON
conservation-area,44000380,44007963,local-authority:HAL
conservation-area,44000537,44002959,local-authority:NET
conservation-area,44000549,44012329,local-authority:OLD
conservation-area,44000550,44012345,local-authority:LBH
conservation-area,44000591,44009051,local-authority:RDB
conservation-area,44000663,44012276,local-authority:WRL
conservation-area,44000701,44005233,local-authority:TEW
conservation-area,44000713,44010140,local-authority:WBK
conservation-area,44000997,44009145,local-authority:CAR
conservation-area,44001014,44008883,local-authority:CRY
conservation-area,44001043,44009103,local-authority:WND
conservation-area,44001130,44005183,local-authority:PTE
conservation-area,44001414,44005181,local-authority:NLN
conservation-area,44001617,44007973,local-authority:SOS
conservation-area,44001675,44007830,local-authority:MAL
conservation-area,44001676,44006734,local-authority:GED
conservation-area,44001788,44009884,local-authority:EPS
conservation-area,44001792,44010079,local-authority:CAT
conservation-area,44001799,44007965,local-authority:BRC
conservation-area,44001802,44008707,local-authority:MOL
conservation-area,44001831,44012336,local-authority:WOX
conservation-area,44001859,44008655,local-authority:WAE
conservation-area,44001995,44008198,local-authority:STH
conservation-area,44002323,44008920,local-authority:EAL
conservation-area,44002349,44010269,local-authority:SWK
conservation-area,44002387,44009068,local-authority:KTT
conservation-area,44002411,44006529,local-authority:BNE
conservation-area,44002411,44006529,local-authority:GLA
conservation-area,44002425,44009093,local-authority:HIL
conservation-area,44002450,44009087,local-authority:RIC
conservation-area,44002494,44012304,local-authority:LND
conservation-area,44002792,44009013,local-authority:BEX
conservation-area,44002813,44009101,local-authority:BRY
conservation-area,44002850,44009069,local-authority:WSM
conservation-area,44002904,44002914,local-authority:HAV
conservation-area,44002915,44002918,local-authority:BDG
conservation-area,44003007,44007924,local-authority:CLD
conservation-area,44003142,44007975,local-authority:COT
conservation-area,44003388,44007872,local-authority:SEG
conservation-area,44003402,44009075,local-authority:HNS
conservation-area,44003415,44003421,local-authority:NWM
conservation-area,44003422,44009061,development-corporation:Q6670544
conservation-area,44003424,44008877,local-authority:WFT
conservation-area,44003435,44010588,local-authority:TWH
conservation-area,44003564,44010308,local-authority:HOR
conservation-area,44003647,44008600,local-authority:NED
conservation-area,44004019,44008711,local-authority:SLF
conservation-area,44004350,44009141,local-authority:SOX
conservation-area,44004423,44009161,local-authority:VAL
conservation-area,44004834,44007679,local-authority:SHN
conservation-area,44004838,44004874,local-authority:SKP
conservation-area,44004967,44005025,local-authority:BRD
conservation-area,44005080,44009138,local-authority:YOR
conservation-area,44005395,44009014,local-authority:MRT
conservation-area,44005968,44008684,local-authority:BAB
conservation-area,44006227,44009089,local-authority:HCK
conservation-area,44006432,44010585,local-authority:BUC
conservation-area,44006443,44010271,local-authority:LCE
conservation-area,44006481,44010414,local-authority:TRF
conservation-area,44006554,44009159,local-authority:SHF
conservation-area,44007851,44007865,local-authority:KWL
conservation-area,44007873,44007873,local-authority:WNM
conservation-area,44007891,44007901,local-authority:ESK
conservation-area,44007902,44007918,local-authority:NOW
conservation-area,44007978,44008103,local-authority:PUR
conservation-area,44008104,44008196,local-authority:DUR
conservation-area,44008197,44008246,local-authority:DUD
conservation-area,44008337,44008346,local-authority:ROC
conservation-area,44008347,44012344,local-authority:HMF
conservation-area,44008380,44008967,local-authority:KEC
conservation-area,44008601,44012343,local-authority:NDO
conservation-area,44008712,44009007,local-authority:ISL
conservation-area,44008713,44009097,local-authority:LEW
conservation-area,44008714,44010295,local-authority:ENF
conservation-area,44008721,44009091,local-authority:HRY
conservation-area,44008733,44008910,local-authority:BEN
conservation-area,44008756,44009102,local-authority:HRW
conservation-area,44008764,44008872,local-authority:STN
conservation-area,44008815,44009056,local-authority:GRE
conservation-area,44009104,44009107,local-authority:CHI
conservation-area,44009108,44012320,local-authority:BOL
conservation-area,44009614,44009885,local-authority:CMD
conservation-area,44009664,44009677,local-authority:GLO
conservation-area,44009678,44009700,local-authority:GRY
conservation-area,44009701,44009803,local-authority:DOV
conservation-area,44009804,44009827,local-authority:MDW
conservation-area,44009828,44009856,local-authority:BIR
conservation-area,44009857,44010270,local-authority:GAT
conservation-area,44009886,44009931,local-authority:DNC
conservation-area,44010125,44010134,local-authority:ROS
conservation-area,44010141,44010179,local-authority:NSM
conservation-area,44010180,44010207,local-authority:ECA
conservation-area,44010208,44010216,local-authority:SAW
conservation-area,44010296,44010305,local-authority:ROH
conservation-area,44010309,44010310,local-authority:CAS
conservation-area,44010311,44012250,government-organisation:D1342
conservation-area,44010589,44010622,local-authority:BST
conservation-area,44012305,44012319,local-authority:PLY
